,actual,key,predicted
0,4.39,17,4.39000000000169
1,4.39,18,4.39000000000169
2,4.63,19,10.117748728568616
3,4.8,20,4.047713798702339
5,5.55,22,6.553346202900933
6,6.31,23,6.320000000004852
7,6.32,24,6.310000000004697
8,6.92,25,3.64604373231282
9,7.12,26,5.119230769233703
10,5.35,27,5.2553846153868005
11,5.22,28,5.265384615387907
12,5.01,29,5.28153846154138
13,4.83,30,5.295384615387017
14,4.39,31,5.329230769233844
15,5.12,32,5.273076923079814
16,4.65,33,5.309230769233224
17,4.21,34,5.343076923079596
18,3.75,35,5.378461538465509
19,5.01,36,5.281538461541266
20,7.11,37,5.120000000002678
21,5.08,38,5.276153846155827
22,6.82,39,5.142307692311245
23,7.26,41,16.225177551746505
24,7.35,42,7.3599999999920325
25,7.36,43,7.3499999999935826
26,7.58,44,5.6303462861715765
27,7.95,46,7.950000000012552
28,7.95,47,7.950000000012552
29,8.31,48,8.245285089991391
30,8.51,49,10.120177874687329
31,8.95,50,-4.276087612576322
32,9.26,51,9.250000000006425
33,9.25,52,9.260000000005896
34,12.23,53,10.794177458359385
35,12.62,54,11.630000000001981
36,11.63,55,12.620000000002241
37,12.29,56,7.115774998919528
39,5.48,58,3.558612856965972
40,6.35,59,6.196886442190072
41,6.84,60,6.86000000000133
42,6.82,61,6.866666666668092
43,6.88,62,6.846666666667578
44,6.88,63,6.846666666667578
45,7.31,64,7.110000000002638
46,6.92,65,7.3050000000015425
47,7.3,66,7.115000000001548
48,7.04,67,6.550000000004689
49,6.15,68,6.995000000005051
50,6.95,69,6.595000000004878
51,6.74,70,6.719999999999805
52,6.72,71,6.740000000000684
53,6.46,72,5.854551131510396
54,6.2,73,5.399999999990332
55,5.29,74,5.854999999993287
56,5.51,75,5.744999999991703
57,5.0,76,5.660000000006761
58,5.66,77,5.000000000005715
59,4.24,78,0.31469069092926105
60,4.83,79,8.513004253451111
61,7.04,80,6.830450290023196
62,5.08,83,0.3993238714283702
64,2.53,85,7.840225939343788
65,3.84,86,4.933966169406466
66,12.62,87,14.320000000002036
67,14.32,88,12.620000000001658
68,11.125,89,-0.655129624699871
69,13.38,90,15.700000000003403
70,15.7,91,13.380000000003056
71,9.94,92,-5.342457328749999
72,9.78,93,3.5971986920753
73,14.3,94,7.256331815724871
74,10.36,95,14.624432162673017
75,14.88,96,8.290685859805652
76,14.0,97,6.160817796472639
77,5.08,98,8.291799550555671
78,6.0,99,9.727503484049816
79,3.95,100,2.242596168662957
80,8.39,101,7.122431570804094
81,6.34,102,14.419407284389752
82,5.11,103,-3.7924687067898244
83,4.53,104,5.530432708224708
84,6.71,105,-0.3603082781590521
86,6.08,107,1.0964206785723167
87,6.63,108,19.87557613457863
88,7.14,109,15.019631545453102
89,7.08,110,3.74916069980169
90,4.09,111,-2.9486916245623567
91,4.23,112,3.9233333333442184
92,4.1,113,3.9666666666778303
93,3.92,114,4.026666666676303
94,3.75,115,4.083333333342985
95,4.95,116,4.540217358735728
96,7.1,117,11.210881487351482
97,7.13,118,6.212502471795986
98,7.08,119,6.0651816534433305
99,6.66,120,13.634993073583786
100,7.16,121,6.928135577261206
101,7.23,122,11.89133972920435
102,4.3,123,10.273929997084906
103,4.3,124,18.470008451536387
104,5.52,125,8.962408213984931
105,5.55,126,2.6918352275659094
106,5.76,127,15.294085403898613
107,5.81,128,8.854092310423034
108,6.17,129,13.269774627115737
109,6.25,130,4.236042420480307
110,6.25,131,11.12159815688084
111,7.04,132,4.190542454094855
112,7.23,133,8.9955795488187
113,7.38,134,10.308915777703302
114,8.11,135,2.962998854990799
115,8.25,136,8.145465934580056
116,8.49,137,13.976575507326901
117,8.66,138,8.285422562070416
118,8.66,139,2.183586559670551
119,9.71,140,9.930560023694103
121,6.3,142,6.3475229571244185
122,6.3,143,7.570249276568482
126,1.0,147,-1.6009942290032635
127,6.17,148,17.85262785259077
129,8.04,150,1.9118293961610089
131,2.85,152,12.154519742789745
132,7.08,153,-2.9027540502338685
133,4.38,154,4.011854664368847
134,3.92,155,-8.833722081181353
136,5.16,157,6.085000000003402
137,5.93,158,5.700000000001889
138,6.24,159,5.545000000004094
139,2.9,160,2.930000000008536
140,2.93,161,2.9000000000082977
141,2.52,162,2.489999999999837
142,2.49,163,2.520000000000076
143,1.9,164,2.5999999999987926
144,2.6,165,1.8999999999978074
145,2.0,166,9.77662147231197
146,2.43,167,6.071857000255763
147,2.64,168,7.003768334934208
150,5.36,171,4.360000000012822
151,4.34,172,4.870000000013672
152,4.38,173,4.850000000012691
153,5.57,174,3.2349999999997054
154,3.27,175,4.385000000001468
155,3.2,176,4.420000000001906
156,4.54,177,5.640000000000587
157,5.64,178,4.5400000000013465
158,4.17,179,6.039999999994372
159,6.04,180,4.169999999992376
160,4.89,181,4.739999999993945
161,4.74,182,4.889999999996503
162,4.41,185,4.320000000003358
163,4.32,186,4.410000000004187
164,5.81,187,12.54375506116373
165,5.84,188,4.924705452714219
166,6.69,189,-2.122588980507315
167,7.23,190,8.910511208455905
168,4.76,191,6.162558995919705
169,2.57,192,4.80280148651994
170,4.9,193,11.073572745642561
172,8.61,195,-3.7437904254700776
173,6.25,196,-1.8032000242833517
174,5.92,197,6.897545775876513
175,9.11,198,8.112966780811712
176,7.14,199,8.768562467122614
177,6.83,200,4.373845327721827
178,5.95,201,6.838086790213233
183,9.71,208,4.141938537963075
187,5.52,212,10.849181496242467
189,8.14,214,17.804324444443015
190,4.0,215,5.014914525151926
193,0.0,218,4.430570141209219
195,0.0,220,11.7619481141104
